名前,順位1日目,割合1日目,,名前,順位2日目,割合2日目,,名前,最終順位,最終票数,割合
戦の聖霊シンシア,53,0.31%,,シェリー,53,0.29%,,戦の聖霊シンシア,53,19058,0.29%
竜巫女エキドナ,54,0.30%,,竜巫女エキドナ,54,0.29%,,シェリー,54,18888,0.29%
クローディア,55,0.28%,,守護騎士シェルト,55,0.26%,,クローディア,55,17417,0.27%
守護騎士シェルト,56,0.28%,,クローディア,56,0.26%,,守護騎士シェルト,56,16665,0.26%
兎耳の魔物使いシュシュ ,57,0.27%,,副官アリア,57,0.25%,,兎耳の魔物使いシュシュ,57,16033,0.25%
雷竜騎士エレニア,58,0.26%,,雷竜騎士エレニア,58,0.25%,,副官アリア,58,15517,0.24%
堕天使ニエル,59,0.26%,,兎耳の魔物使いシュシュ,59,0.25%,,聖夜の魔女リュリュ,59,15307,0.24%
新緑の兵士フィリス,60,0.25%,,新緑の兵士フィリス,60,0.23%,,雷竜騎士エレニア,60,14901,0.23%
召喚士ソラノ,61,0.25%,,聖夜の魔女リュリュ,61,0.23%,,新緑の兵士フィリス,61,14153,0.22%
呪術師ミトラ,61,0.25%,,私掠船長サブリナ,61,0.23%,,呪術師ミトラ,62,14136,0.22%
副官アリア,63,0.24%,,召使いアイリーン,63,0.23%,,歪み角のプリスナ,63,13859,0.21%
聖職者セレイナ,64,0.24%,,呪術師ミトラ,64,0.22%,,封妖の忍者ナギ,64,13810,0.21%
暗黒騎士ダルク,65,0.23%,,封妖の忍者ナギ,65,0.21%,,召使いアイリーン,65,13335,0.21%
召使いアイリーン,66,0.23%,,歪み角のプリスナ,66,0.21%,,私掠船長サブリナ,66,13225,0.20%
私掠船長サブリナ,67,0.22%,,堕天使ニエル,67,0.20%,,召喚士ソラノ,67,12177,0.19%
聖なる復讐者ルマリア,68,0.22%,,召喚士ソラノ,68,0.20%,,彩華の射手シャオ,68,11567,0.18%
聖夜の魔女リュリュ,69,0.21%,,暗黒騎士ダルク,69,0.20%,,暗黒騎士ダルク,69,11509,0.18%
歪み角のプリスナ,70,0.21%,,猛き爪獣ウル,70,0.19%,,大自然の乙女メープル,70,11351,0.18%
神官戦士エレット,71,0.21%,,暗殺者セシリー,71,0.18%,,聖なる復讐者ルマリア,71,11324,0.18%
暗殺者セシリー,72,0.21%,,聖職者セレイナ,72,0.18%,,猛き爪獣ウル,72,11307,0.17%
神官戦士フラメル,73,0.20%,,聖なる復讐者ルマリア,73,0.18%,,堕天使ニエル,73,11070,0.17%
封妖の忍者ナギ,74,0.19%,,大自然の乙女メープル,74,0.17%,,砲術士メル,74,10909,0.17%
猛き爪獣ウル,75,0.19%,,錬金講師レーレン,75,0.17%,,聖職者セレイナ,75,10709,0.17%
大自然の乙女メープル,76,0.18%,,怠惰の魔神ベルーフェ,76,0.16%,,暗殺者セシリー,76,10462,0.16%
暗黒騎士ユリナ,77,0.18%,,神官戦士エレット,77,0.16%,,錬金講師レーレン,77,10435,0.16%
怠惰の魔神ベルーフェ,78,0.17%,,神官戦士フラメル,78,0.15%,,神官戦士フラメル,78,9993,0.15%
錬金講師レーレン,79,0.17%,,風水士マール,79,0.14%,,怠惰の魔神ベルーフェ,79,9887,0.15%
祝祭の踊り子ハナ,80,0.16%,,砲術士メル,80,0.14%,,火霊使いロレッタ,80,9777,0.15%
天狗グレン,81,0.16%,,炎の竜皇女シャルム,81,0.14%,,炎の竜皇女シャルム,81,9495,0.15%
癒しの獅子ロベルト,82,0.16%,,風水士ピピン,82,0.14%,,神官戦士エレット,82,9252,0.14%
風水士マール,83,0.15%,,彩華の射手シャオ,83,0.14%,,風水士マール,83,9151,0.14%
砲術士メル,84,0.15%,,封獣の剣士ラテリア,84,0.14%,,風水士ピピン,84,8914,0.14%
封獣の剣士ラテリア,84,0.14%,,秘法の伝承者オデット,84,0.13%,,太陽神官パトラ,85,8873,0.14%
秘法の伝承者オデット,86,0.14%,,ダークエルフのロアナ,86,0.13%,,堕天使フォニア,86,8610,0.13%
降魔の戦姫トコヨ,87,0.14%,,太陽神官パトラ,87,0.13%,,暗黒騎士ユリナ,87,8577,0.13%
術士女官シャーリー,88,0.13%,,暗黒騎士ユリナ,88,0.13%,,ダークエルフのロアナ,88,8243,0.13%
炎の竜皇女シャルム,89,0.13%,,術士女官シャーリー,89,0.13%,,術士女官シャーリー,89,8164,0.13%
太陽神官パトラ,90,0.13%,,幻獣使いホリー,90,0.13%,,秘法の伝承者オデット,90,8119,0.13%
幻獣使いホリー,91,0.13%,,堕天使フォニア,91,0.13%,,封獣の剣士ラテリア,91,8114,0.13%
火霊使いロレッタ,92,0.13%,,天狗グレン,92,0.13%,,付与魔術師エルシャ,92,8067,0.12%
ダークエルフのロアナ,93,0.13%,,火霊使いロレッタ,93,0.13%,,狂聖女フェドラ,93,8002,0.12%
堕天使フォニア,94,0.13%,,祝祭の踊り子ハナ,94,0.13%,,天狗グレン,94,7942,0.12%
風水士ピピン,95,0.12%,,風詠みの少女メイファ,95,0.12%,,風詠みの少女メイファ,95,7660,0.12%
天駆ける騎士リディ,96,0.11%,,降魔の戦姫トコヨ,96,0.11%,,天駆ける騎士リディ,96,7479,0.12%
帝国重装砲兵ゲオルグ,97,0.11%,,癒しの獅子ロベルト,97,0.11%,,幻獣使いホリー,97,7222,0.11%
狩人ストレイ,98,0.11%,,狂聖女フェドラ,98,0.11%,,狩人ストレイ,98,7200,0.11%
聖夜の弓騎兵サラサ,99,0.10%,,テミス,99,0.11%,,封妖の忍者カナメ,99,7173,0.11%
狂聖女フェドラ,100,0.10%,,天駆ける騎士リディ,100,0.11%,,降魔の戦姫トコヨ,100,7002,0.11%
,,,,,,,,癒しの獅子ロベルト,101,6935,0.11%
,,,,,,,,祝祭の踊り子ハナ,102,6933,0.11%
,,,,,,,,テミス,103,6676,0.10%
,,,,,,,,聖夜の弓騎兵サラサ,104,6663,0.10%
,,,,,,,,帝国重装砲兵ゲオルグ,105,6542,0.10%
,,,,,,,,闇司祭ベルディナート,106,6082,0.09%
,,,,,,,,南瓜魔導鎧兵エーリカ,107,5911,0.09%
,,,,,,,,封鋼の剣士ティール,108,5650,0.09%
,,,,,,,,薙刀剣士サクヤ,109,5621,0.09%
,,,,,,,,女山賊ライラ,110,5585,0.09%
,,,,,,,,時の魔女リゼット,111,5485,0.08%
,,,,,,,,武闘家リン,112,5370,0.08%
,,,,,,,,巫女シホ,113,5345,0.08%
,,,,,,,,帝国狙撃兵ラルフ,114,5119,0.08%
,,,,,,,,蒼角の鬼娘リンドウ,115,5067,0.08%
,,,,,,,,神秘の探究者ガラニア,116,4462,0.07%
,,,,,,,,ルイーズ,117,4337,0.07%
,,,,,,,,魔界闘士リスティス,118,4196,0.06%
,,,,,,,,紅の海賊ベアトリカ,119,4156,0.06%
,,,,,,,,帝国騎士アリーセ,120,4143,0.06%
,,,,,,,,庭番女官ヒカゲ,121,4087,0.06%
,,,,,,,,見習い水兵マリエ,122,3932,0.06%
,,,,,,,,海賊ジョヴァンニ,123,3456,0.05%
,,,,,,,,剣士アカネ,124,3159,0.05%
,,,,,,,,盗賊ベティ,125,3085,0.05%
,,,,,,,,帝国天馬騎士クラーラ,126,3011,0.05%
,,,,,,,,竜殺しラーティ,127,3004,0.05%
,,,,,,,,帝国神樹使いソラーレ,128,2790,0.04%
,,,,,,,,スズランの騎士レイファ,129,2765,0.04%
,,,,,,,,付与魔術師メレディス,130,2614,0.04%
,,,,,,,,山賊娘ロロネ,131,2606,0.04%
,,,,,,,,封印剣の使い手エレーヌ,132,2412,0.04%
,,,,,,,,機甲騎士フィー,133,2406,0.04%
,,,,,,,,黒衣のサイラス,134,2200,0.03%
,,,,,,,,竜人戦士,135,2093,0.03%
,,,,,,,,神官クリストファー,136,1964,0.03%
,,,,,,,,駆け出し海賊モニカ,137,1819,0.03%
,,,,,,,,錬金術士テルマ,138,1650,0.03%
,,,,,,,,密林の射手,139,1622,0.03%
,,,,,,,,亡国の守護騎士サリス,140,1615,0.02%
,,,,,,,,妖精司教マリウス,141,1612,0.02%
,,,,,,,,侍剣士イロハ,142,1543,0.02%
,,,,,,,,弓兵ウィルフレッド,143,1444,0.02%
,,,,,,,,密林の槍騎兵チグリ,144,1300,0.02%
,,,,,,,,王国兵士レオ,145,1268,0.02%
,,,,,,,,虎姫メイリン,146,1101,0.02%
,,,,,,,,司祭シャロン,147,1067,0.02%
,,,,,,,,老魔術師ゼンメル,148,987,0.02%
,,,,,,,,海賊手下,149,872,0.01%
,,,,,,,,竜騎士アベル,150,737,0.01%
,,,,,,,,密林の守護者ダナン,151,635,0.01%
,,,,,,,,帝国重装歩兵ドワイト,152,584,0.01%
,,,,,,,,魔界魔術師ネヴィン,153,510,0.01%
,,,,,,,,中忍ハヤテ,154,456,0.01%
,,,,,,,,一般兵B【弓】,155,359,0.01%
,,,,,,,,盗賊バラッド,156,346,0.01%
,,,,,,,,忍者サイゾウ,157,271,0.00%
,,,,,,,,一般兵A【魔法】,158,256,0.00%
,,,,,,,,帝国付与魔術師ヒース,159,198,0.00%
