名前,順位1日目,割合1日目,,名前,順位2日目,割合2日目,,名前,最終順位,最終票数,割合
聖戦士マリーベル,53,0.28%,,魔鎧乙女パルフィ,53,0.26%,,魔鎧乙女パルフィ,53,16582,0.26%
白百合騎士テティス,54,0.27%,,白百合騎士テティス,54,0.26%,,白百合騎士テティス,54,16340,0.25%
帝国遊撃兵ローザ,55,0.27%,,弓兵ダニエラ,55,0.25%,,弓兵ダニエラ,55,16289,0.25%
武器商人エイミー,56,0.26%,,槍騎兵キャリー,56,0.24%,,反魂の死霊術師メトゥス,56,15418,0.24%
槍騎兵キャリー,57,0.26%,,反魂の死霊術師メトゥス,57,0.23%,,槍騎兵キャリー,57,15151,0.24%
忍者アザミ,58,0.25%,,妖精司祭ノエル,58,0.23%,,聖戦士マリーベル,58,15122,0.24%
航海士アメリ,59,0.23%,,聖戦士マリーベル,59,0.23%,,盗賊セブン,59,14201,0.22%
反魂の死霊術師メトゥス ,60,0.22%,,盗賊セブン,60,0.23%,,山賊娘リーフ,60,13911,0.22%
鋼鉄弓クレア,61,0.22%,,神殿書記官レーヴ,61,0.22%,,航海士アメリ,61,13877,0.22%
盗賊セブン,61,0.22%,,山賊娘リーフ,61,0.22%,,神殿書記官レーヴ,62,13867,0.22%
魔鎧乙女パルフィ,63,0.22%,,航海士アメリ,63,0.21%,,妖精司祭ノエル,63,13677,0.21%
妖精司祭ノエル,64,0.21%,,鋼鉄弓クレア,64,0.21%,,踊り子マーニー,64,13448,0.21%
踊り子マーニー,65,0.20%,,忍者アザミ,65,0.20%,,鋼鉄弓クレア,65,13016,0.20%
神殿書記官レーヴ,66,0.20%,,王国魔術師ロイ,66,0.19%,,忍者アザミ,66,12268,0.19%
王国魔術師ロイ,67,0.19%,,踊り子マーニー,67,0.18%,,帝国騎士ヴィオラ,67,12220,0.19%
妖狐たまも,68,0.17%,,純白の剣士リシェルテ,68,0.18%,,妖狐 堕姫,68,11743,0.18%
聖霊の友セリア,69,0.17%,,流浪の武芸者チズル,69,0.18%,,背反の癒し手ユーノ,69,11515,0.18%
魔術師パレス,70,0.17%,,妖狐　堕姫,70,0.18%,,王国魔術師ロイ,70,11481,0.18%
妖狐　堕姫,71,0.17%,,妖狐たまも,71,0.18%,,流浪の武芸者チズル,71,11419,0.18%
帝国騎士ヴィオラ,72,0.16%,,帝国騎士ヴィオラ,72,0.17%,,純白の剣士リシェルテ,72,11049,0.17%
天の軍師レン,73,0.16%,,聖霊の友セリア,73,0.17%,,妖狐たまも,73,10965,0.17%
純白の剣士リシェルテ,74,0.16%,,白き魔女ベリンダ,74,0.16%,,聖霊の友セリア,74,10308,0.16%
流浪の武芸者チズル,75,0.16%,,神官戦士フェルミ,75,0.16%,,白き魔女ベリンダ,75,10002,0.16%
背反の癒し手ユーノ,76,0.15%,,背反の癒し手ユーノ,76,0.15%,,神官戦士フェルミ,76,9785,0.15%
神官戦士フェルミ,77,0.15%,,凶鳥の射手ヒューナ,77,0.15%,,凶鳥の射手ヒューナ,77,9150,0.14%
魔砲士ゾラ,78,0.15%,,忘我の呪術師レヴィ,78,0.13%,,白き魔女クロリス,78,8369,0.13%
付与魔術師リルケ,79,0.15%,,魔術師パレス,79,0.13%,,怪盗キュテリ,79,8313,0.13%
凶鳥の射手ヒューナ,80,0.14%,,白き魔女クロリス,80,0.13%,,宮廷剣士サビーネ,80,8183,0.13%
白き魔女ベリンダ,81,0.13%,,剣豪モミジ,81,0.13%,,忘我の呪術師レヴィ,81,7952,0.12%
剣豪モミジ,82,0.13%,,兵士長ユリアン,82,0.12%,,賞金稼ぎエリザベート,82,7518,0.12%
山賊頭モーティマ,83,0.13%,,宮廷剣士サビーネ,83,0.12%,,剣豪モミジ,83,7454,0.12%
魔術師マーヤ,84,0.12%,,神鎖の救命師サルース,84,0.12%,,帝国重装砲兵フリーデ,84,7441,0.12%
神鎖の救命師サルース,84,0.12%,,天の軍師レン,84,0.12%,,天の軍師レン,85,7433,0.12%
白き魔女クロリス,86,0.12%,,怪盗キュテリ,86,0.12%,,姫山賊イメリア,86,7315,0.11%
忘我の呪術師レヴィ,87,0.12%,,帝国重装砲兵フリーデ,87,0.12%,,闇使いチャーミィ,87,7290,0.11%
砲兵パーシス,88,0.12%,,闇使いチャーミィ,88,0.12%,,兵士長ユリアン,88,7218,0.11%
怪盗キュテリ,89,0.12%,,魔砲士ゾラ,89,0.11%,,山賊頭モーティマ,89,6931,0.11%
兵士長ユリアン,90,0.12%,,賞金稼ぎエリザベート,90,0.11%,,幻惑の魔術師サーシャ,90,6909,0.11%
宮廷剣士サビーネ,91,0.11%,,山賊頭モーティマ,91,0.11%,,魔術師パレス,91,6749,0.11%
帝国重装砲兵フリーデ,92,0.11%,,砲兵パーシス,92,0.10%,,神鎖の救命師サルース,92,6536,0.10%
姫山賊イメリア,93,0.11%,,討妖の狙撃手アオバ,93,0.10%,,砲兵パーシス,93,6449,0.10%
闇使いチャーミィ,94,0.11%,,お宝泥棒レダ,94,0.10%,,帝国錬金術士ヘルミーネ,94,6277,0.10%
討妖の狙撃手アオバ,95,0.10%,,付与魔術師リルケ,95,0.10%,,討妖の狙撃手アオバ,95,6143,0.10%
義賊サヨ,96,0.10%,,見習い騎兵ミーシャ,96,0.10%,,見習い騎兵ミーシャ,96,6057,0.09%
帝国錬金術士ヘルミーネ ,97,0.10%,,帝国錬金術士ヘルミーネ,97,0.10%,,魔女アデル,97,6048,0.09%
帝国武術女官マリカ,98,0.10%,,姫山賊イメリア,98,0.09%,,魔術師マーヤ,98,6004,0.09%
賞金稼ぎエリザベート,99,0.10%,,帝国武術女官マリカ,99,0.09%,,堕天使エルン,99,5766,0.09%
見習い騎兵ミーシャ,100,0.10%,,魔術師マーヤ,100,0.09%,,付与魔術師リルケ,100,5736,0.09%
,,,,,,,,魔砲士ゾラ,101,5728,0.09%
,,,,,,,,お宝泥棒レダ,102,5574,0.09%
,,,,,,,,陰陽師コヨミ,103,5569,0.09%
,,,,,,,,帝国武術女官マリカ,104,5372,0.08%
,,,,,,,,忍者ヒエン,105,5222,0.08%
,,,,,,,,義賊サヨ,106,5160,0.08%
,,,,,,,,花鏡の風水士ミア,107,4995,0.08%
,,,,,,,,一般兵B,108,4980,0.08%
,,,,,,,,弓兵アルス,109,4908,0.08%
,,,,,,,,忍者ヒナ,110,4893,0.08%
,,,,,,,,緑森の番人フウカ,111,4746,0.07%
,,,,,,,,海賊レイチェル,112,4699,0.07%
,,,,,,,,修道戦士エーテル,113,4633,0.07%
,,,,,,,,槍騎兵エレイン,114,4584,0.07%
,,,,,,,,機甲士リッカ,115,4576,0.07%
,,,,,,,,姫海賊アネリア,116,4526,0.07%
,,,,,,,,猫魔女ネーニャ,117,4385,0.07%
,,,,,,,,提督リーンベル,118,4279,0.07%
,,,,,,,,魔女カリオペ,119,4240,0.07%
,,,,,,,,風水士クルル,120,4105,0.06%
,,,,,,,,熟練兵ハシム,121,4014,0.06%
,,,,,,,,弓武者カズハ,122,3955,0.06%
,,,,,,,,冒険者オスカー,123,3865,0.06%
,,,,,,,,帝国魔鎧兵ルーテ,124,3758,0.06%
,,,,,,,,海賊ヴェロッテ,125,3754,0.06%
,,,,,,,,帝国神樹使いミステル,126,3713,0.06%
,,,,,,,,傭兵クレイブ,127,3655,0.06%
,,,,,,,,帝国竜人サーベイン,128,3425,0.05%
,,,,,,,,妖精魔鎧兵ライチ,129,3379,0.05%
,,,,,,,,弓騎兵ミゲル,130,3344,0.05%
,,,,,,,,鍛冶職人ルミアン,131,3055,0.05%
,,,,,,,,山賊王コンラッド,132,2936,0.05%
,,,,,,,,格闘家ダン,133,2751,0.04%
,,,,,,,,格闘士ジーナ,134,2524,0.04%
,,,,,,,,亡国の将シュウカ,135,2458,0.04%
,,,,,,,,鍛冶職人キャラット,136,2456,0.04%
,,,,,,,,帝国騎士ルークス,137,2414,0.04%
,,,,,,,,聖森の番人リコラ,138,2218,0.03%
,,,,,,,,妖精郷の戦士ロザリー,139,2198,0.03%
,,,,,,,,帝国重装歩兵フィリーネ,140,2114,0.03%
,,,,,,,,神秘の術士シャルル,141,1946,0.03%
,,,,,,,,侍剣士コジュウロウ,142,1686,0.03%
,,,,,,,,下忍,143,1664,0.03%
,,,,,,,,巫女カグラ,144,1434,0.02%
,,,,,,,,機甲技師ボリス,145,1356,0.02%
,,,,,,,,情熱の踊り子ワルツ,146,1352,0.02%
,,,,,,,,閃の撃砲ジャンナ,147,1326,0.02%
,,,,,,,,青竜のガドラス,148,1324,0.02%
,,,,,,,,弓騎兵デイジー,149,880,0.01%
,,,,,,,,山賊 手下B,150,829,0.01%
,,,,,,,,女盗賊ハリッサ,151,683,0.01%
,,,,,,,,帝国歩兵ディルク,152,677,0.01%
,,,,,,,,妖精郷の戦士アトラ,153,667,0.01%
,,,,,,,,一般兵B【魔法】,154,477,0.01%
,,,,,,,,一般兵A【弓】,155,462,0.01%
,,,,,,,,破魔僧正フドウ,156,437,0.01%
,,,,,,,,足軽頭サノスケ,157,232,0.00%
,,,,,,,,竜騎士リエーレ,158,195,0.00%
